English Word,Translation,Part-of-Speech
accelerate,"acelerar; acelerarse; acelerar, apresurar; acelerar",{v} /ək.ˈsɛl.ə.ˌreɪt/ (to cause to move faster); {v} (to become faster); {v} (to hasten); {v} (to quicken natural or ordinary progression or process)
acceleration,aceleración,{n} /ək.ˌsɛl.ə.ˈɹeɪ.ʃən/ (act or state)
accelerator,"acelerador {m}, [colloquial, Chile] chala {f}, chancla {f} [Costa Rica], chancleta {f} [Colombia], chola {f} [Venezuela]; acelerador {m}; acelerador {m}","{n} (accelerator pedal); {n} (a device for causing acceleration); {n} /æk.ˈsɛl.ə.ˌɹeɪ.tɚ/ (one who, or that which, accelerates)"
accelerometer,acelerómetro {m},{n} /æk.ˌsɛl.ə.ˈrɑm.ə.tɚ/ (instrument for measuring acceleration)
accent,"acento {m}; acento {m}, tilde {f}; acento {m}; acento {m}; acento {m}; acento {m}; acentuar; acentuar",{n} /ˌæk.ˈsɛnt/ (a stronger articulation); {n} (a mark used in writing); {n} (a recurring stress on a tone); {n} (modulation of the voice); {n} (stress on syllables of a verse); {n} (the expressive emphasis of a passage); {v} /æk.ˈsɛnt/ (to emphasize); {v} (to mark with written accents)
accentor,acentor {m},{n} /ək.ˈsɛn.tɚ/ (bird of the Prunella genus)
accentuate,acentuar; acentuar; acentuar,{v} /əkˈsen.tʃu.eɪt/ (to pronounce with an accent); {v} (to bring out distinctly); {v} (to mark with a written accent)
accept,aceptar; aceptar; aceptar,{v} /əkˈsɛpt/ (to receive with consent); {v} (to agree to); {v} (to receive officially)
acceptability,aceptabilidad {f},{n} /ˌæk.ˌsɛp.tə.ˈbɪl.ət.i/ (acceptableness)
acceptable,aceptable,"{adj} /æk.ˈsɛp.tə.bəl/ (capable, worthy or sure of being accepted)"
acceptance,"aceptación; aceptación {f}, aprobación {f}",{n}; {n} /ək.ˈsɛp.təns/ (receiving of something offered)
acceptor,aceptador {m},{n} /æk.ˈsɛp.tɚ/ (one who accepts)
accept service,"recibir la notificación, darse por notificado",{v} (receive and acknowledge receipt of service of process)
access,acceso {m}; acceso {m}; acceso {m}; acceso {m}; acceder; acceder,{n}; {n} /ˈæk.sɛs/ (way or means of approaching); {n} (communication with a computer program or the Internet); {n} (computing: process of locating data in memory); {v} (computing: to have access to (data)); {v} (to gain or obtain access to)
access code,código de acceso {m},{n} (alphanumeric sequence)
accessibility,accesibilidad {f},"{n} /æk.ˌsɛs.ə.ˈbɪl.ət.i/ (the quality of being accessible, or of admitting approach)"
accessible,"accesible, asequible",{adj} /ək.ˈsɛs.ə.bəl/ (easy of access or approach)
accession,ascenso {f},{n} /æk.ˈsɛ.ʃən/ (a coming to)
accessory,"accesorio, auxiliar; cómplice; accesorio {m}; cómplice {m} {f}; accesorio {m}, complemento {m}","{adj} /æk.ˈsɛs.ɚ.rɪ/ (having a supplementary function); {adj} (assisting a crime); {n}; {n} (contributor to an offense); {n} (that which belongs to something else deemed the principal, attachment)"
accessory after the fact,cómplice encubridor {m},{n}
accessory before the fact,cómplice instigador {m},{n} (one who commands or counsels an offense)
accessory fruit,infrutescencia {f},{n} (A fruit with tissue not derived from ovary)
accident,accidente {m}; accidente,"{n} /ˈæk.sə.dənt/ (mishap, casualty); {n} (transport: unintended collision)"
accidental,"accidental, casual, imprevisto, fortuito",{adj} /ˌæk.sə.ˈdɛn.təl/ (happening by chance)
accidentally,accidentalmente,"{adv} /ˈæk.sə.dənt.li/ (unexpectedly, unintentionally)"
accidently,,"{adv} (unexpectedly, unintentionally)"
acclaim,"aclamación {f}; gritar; aclamar, aplaudir; aclamar; aclamar",{n} (acclamation); {v} /ə.ˈkleɪm/ (to shout); {v} (to applaud); {v} (to declare by acclamations); {v} (to shout applause)
