Spanish Word,Translation,Gender,Part-of-Speech
abano,ceiling fan; fly chaser (tool to chase flies from an area),m,{noun}
Abanto,"A town in Zaragoza, Aragon, Spain; Spanish surname",,{prop}
abaratamiento,reduction (generally in the price of an item),m,{noun}
abaratar,to make cheaper (by reducing the price),,{v}
abarca,sandal,f,{noun}
abarcar,"to clasp; to comprise, to make up, to contain, to include; to embrace, to encompass; to monopolize, to corner; to take in; to undertake, to embark upon",,{v}
abarracar,to construct barracks,,{v}
abarrar,to throw with force,,{v}
abarraz,stavesacre (Delphinium staphisagria),f,{noun}
abarrotar,to bar; to pack; to stow cargo on a ship,,{v}
abarrotería,"hardware store; general store, local shop","f [Central America]; f [Mexico, Central America]",{noun}
abartarse,to go down in price,,{v}
abastar,to supply,,{v}
abastardar,"To degrade, degenerate; To degrade, debase, bastardize",,{vi}; {vt}
abastecedor,outfitter,m,{noun}
abastecer,to supply (with),,{v}
abastecimiento,supply,m,{noun}
abastionar,to fortify with bastions,,{v}
abasto,grocery; supply,m,{noun}
abatanar,"To beat, hit, abase; To full, mill (clothing)",,{v}
abatatar,To embarrass; To frighten,,{v}
abatidamente,abjectly,,{adv}
abatido,"abject, discouraged",,{adj}
abatimiento,dejection; depressiveness,m,{noun}
abatir,to demolish; to discourage; to humble,,{v}
abatirse,to become depressed,,{v}
abaya,abaya,f,{noun}
abciximab,abciximab,m [pharmaceutical drug],{noun}
Abdías,Obadiah,,{prop} [biblical character]
abdicación,"abdication, abandonment of a job or task",f,{noun}
abdicar,"to abdicate, relinquish",,{v}
abdicativamente,abdicatingly,,{adv}
abdicativo,abdicative,,{adj}
abdomen,,"m [l/en, abdomen]",{noun}
abdominal,; sit-up,"adj [l/en, abdominal]; m",{noun}
abdominalmente,abdominally,,{adv}
abdominoplastia,abdominoplasty,f [surgery],{noun}
abducción,abduction (physiology: movement separating limb from axis),f,{noun}
abducir,"to abduce, to abduct (draw away from the median axis of the body)","v [physiology, anatomy]",{noun}
abductor,abductor,m [anatomy],{noun}
abductor del meñique,abductor minimi digiti,m,{noun}
abductor largo del pulgar,abductor pollicis longus,m,{noun}
abecé,ABCs (alphabet); primer (textbook formerly used to teach the alphabet),m,{noun}
abecedario,"alphabet (an ordered set of letters used in a language); spelling book, primer",m,{noun}
abedul,birch,m,{noun}
abeja,bee (the insect),f,{noun}
abeja albañila,mason bee,f,{noun}
abeja carpintera,carpenter bee,f,{noun}
abeja de miel,honeybee,f,{noun}
abeja machiega,worker bee,f,{noun}
abeja maesa,queen bee,f,{noun}
abeja maestra,queen bee,f,{noun}
abeja neutra,worker bee,f,{noun}
abeja obrera,worker bee,f,{noun}
abeja reina,queen bee,f,{noun}
abejarrón,bumblebee,m,{noun}
abejaruco,bee-eater,m,{noun}
abejorro,bumblebee; cockchafer,m,{noun}
Abel,Abel,,{prop} [biblical character]
abeliano,abelian,,{adj}
abemoladamente,sweetly,,{adv}
abemolar,"to soften, to lower the voice",,{v}
abenuz,ebony,m,{noun}
aberración,"aberration, aberrancy",f,{noun}
aberrante,"shocking, aberrant",,{adj}
aberrar,"to be wrong, to err",,{v}
abertal,"crackled, cracked",,{adj}
abertura,opening,f,{noun}
abetal,"an area planted with firs; fir forest, wood",m,{noun}
abeto,fir,m,{noun}
abiertamente,"openly, aboveboard",,{adv}
abierto,open,,{adj}
abigarradamente,In a motley manner,,{adv}
abigarrado,"pertaining to a mishmash of ill-sorted things; variegated, colorful, pertaining to clashing colors",,{adj}
abigarramiento,motley,m,{noun}
abigarrar,"to paint in many colors, make colorful paints",,{v}
abigeato,"abigeat, cattle-theft",m,{noun}
Abimelech,(Biblical character),"prop [l/en, Abimelech]",{noun}
abiogénesis,abiogenesis,f,{noun}
abisal,abyssal (belonging to the ocean depths),,{adj}
Abisinia,Abyssinia,,{prop}
abisinio,Abyssinian; Abyssinian,,{adj}; {noun}
abismal,abysmal,,{adj}
abismalmente,abysmally,,{adv}
abismarse,to engulf; to plunge into,,{v}
abismo,abyss,m,{noun}
abiótico,abiotic,,{adj}
Abiyán,Abidjan (the largest city of Côte d'Ivoire),,{prop}
abjasia,feminine form of abjasio,f,{noun}
abjasio,Abkhaz; Abkhaz person; Abkhaz (language),,{adj}; {noun}; {prop}
abjurar,to abjure,,{v}
ablación,ablation,f,{noun}
ablacionar,to ablate,,{v}
ablandar,"to soften, to soothe",,{v}
ablandarse,to soften,,{v}
ablativo,ablative,m,{noun}
ablución,ablution,f,{noun}
abnegación,abnegation,f,{noun}
abnegadamente,unselfishly,,{adv}
abnegado,unselfish,,{adj}
abnegar,to renounce,,{v}
abocar,to seize or grab with the mouth,,{v}
abocetado,sketchy,,{adj}
abochornado,"blushed, ashamed",,{adj}
abochornar,to embarrass; to cause to blush; to overheat,,{v}
abochornarse,to shame oneself,,{v}
abofetear,to slap,,{vt}
abogacía,advocacy,f,{noun}
abogada,female lawyer,f,{noun}
abogado,"lawyer, solicitor, counsel",m,{noun}
abogar,to advocate; to defend in court,,{v}
abolengo,ancestry,m,{noun}
abolición,abolition,f,{noun}
abolicionista,abolitionist,mf,{noun}
abolir,to abolish; to revoke,,{vt}
abollado,"bumpy, battered; dented",,{adj}
abolladura,dent,f,{noun}
abollar,to dent; to emboss; to trample,,{v}
abombar,to make round or convex; to stun,,{v}
abombarse,to decompose,,{v}
abominable,,"adj [l/en, abominable]",{noun}
abominablemente,abominably,,{adv}
abominación,"abomination; horror, abhorrence",f,{noun}
abominar,to abhor,,{v}
abonado,subscription,m,{noun}
abonar,"To pay a certain amount of money by each term of a loan or sale; To reconcile with someone without going to court; To accredit a sum of money to the account of someone, contributing funds or reducing the balance; To give credit or describe positively; To make an annotation in the salary on an account; To make something better; To pay an amount of money; To provide nutrients to crops using fertilizers. (To fertilize.)",,{vi}; {vp}; {vt}; {vt}; {vt}; {vt}; {vt}; {vt}
abonarse,to subscribe,,{v}
abono,"fertilizer, manure; guarantee, security; payment, installment; subscription, season ticket",m,{noun}
abordador,boarder,m,{noun}
abordaje,boarding; collision,m,{noun}
abordar,"to accost, waylay; to address; to broach; to board",,{vt}
a bordo,aboard,,{adv}
abordo,boarding,m,{noun}
aborígene,aborigine,m,{noun}
aborigen,"aboriginal, indigenous; aborigine",,{adj}; {noun}
aborrecer,"to abandon; to hate, detest",,{v}
aborrecible,loathsome,,{adj}
aborreciblemente,abhorrently,,{adv}
aborrecimiento,"loathing, abhorrence",m,{noun}
abortado,aborted,,{adj}
abortar,to abort; to have an abortion,,{v}
abortista,abortionist,f,{noun}
abortivo,abortive,,{adj}
aborto,abortion; a very ugly person,m; m [slang],{noun}
abotagado,swollen,,{adj}
abotagar,to swell (of the body as a result of a disease),,{vp}
abotonar,to button up,,{v}
abotonarse,to button up,,{v}
abovedado,vaulted,,{adj}
abovedar,to arch,,{v}
ab ovo,ab ovo,,{adv}
aboyar,to set or mark with buoys,,{v} [nautical]
abra,glade; large bay; notch,f,{noun}
Abraham,(Biblical character),"prop [l/en, Abraham]",{noun}
Abrahán,"male given name, a variant of Abraham, the Spanish equivalent of Abraham",,{prop}
Abram,Abram (Biblical character),,{prop}
abrasadamente,ardently,,{adv}
abrasador,scorching,,{adj}
abrasante,parching; scorching,,{adj}
abrasar,to burn; to parch; to squander or waste money,,{v}
abrasión,abrasion,f,{noun}
abrasivo,abrasive; rough; abrasive,,{adj}; {noun}
abrazar,"to hug, to embrace",,{v}
abrazo,hug,m,{noun}
abrazo estrecho,"close hug, cuddle",m,{noun}
abrebotellas,bottle opener,m,{noun}
abrecartas,"letter opener, paper knife",m,{noun}
abrelatas,"can-opener, tin-opener",m,{noun}
abrenunciación,The renouncing of sin at baptism,f [Christianity],{noun}
abrevadero,drinking trough,m,{noun}
abrevar,to give water to; to irrigate,,{v}
abreviación,reduction,f [linguistics],{noun}
abreviadamente,briefly,,{adv}
abreviado,abridged,,{adj}
abreviar,to abbreviate; to hasten,,{v}
abreviatura,abbreviation; resumé,f,{noun}
abridor,opener,m,{noun}
abrigadero,shelter,m,{noun}
abrigado,covered or blanketed; covert,,{adj}
abrigar,to cover; to shelter; to wrap up,,{v}
abrigo,"blanket, quilt; aid, protection; haven, harbor; overcoat; shelter",m [agriculture]; m [figuratively]; m [nautical]; m; m,{noun}
abril,April; years of age,m; m [of a young person],{noun}
abrillantar,to shine or polish,,{v}
abrir,opening; to open; to turn on; to unlock,m,{noun}; {vt}; {vt}; {vt}
abrir fuego,to open fire,,{v}
abrirse,"to flourish, prosper",,{v}
abrirse camino,To make way,,{v}
abrochar,"to button, fasten",,{vt}
abrocharse,"to fasten, tie up",,{vr}
abrogación,abrogation,f,{noun}
abrogar,to abrogate (annul by an authoritative act),,{v}
abrojo,thistle; thorn,m,{noun}
abroncar,"to embarrass; to jeer; to rebuke, to chastise, to reprimand",,{vt}
abrumador,"exhausting, tiresome; overwhelming",,{adj}
abrumadoramente,overwhelmingly,,{adv}
abrumar,"to crush, overcome, exhaust, overwhelm",,{v}
abruptamente,abruptly,,{adv}
abrupto,abrupt; heavy; steep; violent,,{adj}
Absalón,male given name. Spanish equivalent of Absalom,,{prop}
absceso,abscess,m [pathology],{noun}
abscisa,abscissa,f [geometry],{noun}
abscisión,abscission,f,{noun}
absenta,absinthe,f,{noun}
absintina,absinthin,f [organic chemistry],{noun}
absintio,absinth (plant and liquor),m,{noun}
absolución,absolution; acquittal,f; f [judicial],{noun}
absolutamente,absolutely,,{adv}
absolutismo,absolutism,m,{noun}
absolutista,absolutist; absolutist,,{adj}; {noun}
absoluto,absolute,,{adj}
absolutorio,"absolving, absolutory",,{adj}
absolver,To absolve; To acquit,,{v}
absorbencia,absorbency,f,{noun}
absorbente,"absorbing; absorbent, absorber",,{adj}; {noun}
absorber,to absorb; to use up,,{v}
absorción,absorption; aspiration,f,{noun}
absorto,rapt,,{adj}
abstemia,feminine form of abstemio,f,{noun}
abstemio,"teetotal; teetotaller, a person who completely abstains from alcohol",m,{noun}
abstención,abstention,f,{noun}
abstenerse,to abstain (from),,{v}
abstersión,abstersion,f [medical],{noun}
abstinencia,"abstinence, austereness, abstemiousness",f,{noun}
abstinente,abstinently,,{adv}
abstinentemente,abstinently,,{adv}
abstracción,"abstractedness, absentmindedness; abstraction",f,{noun}
abstraccionismo,abstractionism,m [arts],{noun}
abstractivamente,abstractively,,{adv}
abstractivo,abstractive,,{adj}
abstracto,abstract,,{adj}
abstraído,"distracted, absent-minded",,{adj}
abstraer,"to abstract; to deduct, subtract",,{v}
abstruso,abstruse,,{adj}
absurdamente,absurdly,,{adv}
absurdidad,absurdity,f,{noun}
absurdo,absurd; ludicrous; ridiculous; Something that is absurd or ridiculous,,{adj}; {noun}
abubilla,hoopoe (the bird Upupa epops),f,{noun}
abuchear,to jeer; boo,,{v}
abuela,"grandmother, feminine form of abuelo",f,{noun}
abuela materna,grandmother (maternal grandmother),m,{noun}
abuela paterna,grandmother (paternal grandmother),m,{noun}
abuela política,grandmother-in-law,f,{noun}
abuelita,diminutive form of abuela,f,{noun}
abuelito,diminutive form of abuelo,,{n}
abuelo,An old person; grandfather; Loose tufts of hair in the nape when one's hair is messed up,"m [colloquial, affectionate]; m; m",{noun}
abuelo materno,maternal grandfather,m,{noun}
abuelo paterno,grandfather (paternal grandfather),m,{noun}
a buenas horas,"about time, high time",adv [idiomatic],{noun}
abulense,"Of, pertaining to, or from the Spanish city of Ávila; A resident of the Spanish city of Ávila",,{adj}; {noun}
abulón,abalone (edible univalve mollusc),m,{noun}
abultar,to bulge,,{v}
abundadamente,abundantly,,{adv}
abundado,abundant,,{adj}
abundancia,abundance,f,{noun}
abundante,"affluent; plentiful, abundant",,{adj}
abundantemente,abundantly,,{adv}
abundar,to abound,,{v}
Abundio,male given name. Spanish equivalent of Abundius,,{prop}
abundosamente,abundantly,,{adv}
abundoso,abundant,,{adj}
abur,"bye, so long",,{interj}
aburguesar,to become bourgeois,,{vr}
aburridamente,boringly,,{adv}
aburrido,bored; fed up; boring,,{adj}
aburrimiento,boredom,m,{noun}
aburrir,to bore; to tire,,{vt}
aburrirse,to become bored,,{vr}
abusador,abuser,m,{noun}
abusar,"to get clever, to get smart, to wise up; to abuse",vp [Guatemala],{noun}; {v}
abusivamente,abusively,,{adv}
abusivo,abusive,,{adj}
abuso,abuse,m,{noun}
abyeccíon,abjectness; humiliation,f,{noun}
abzima,abzyme,f [immunology],{noun}
acá,"hither, towards the speaker; here",,{adv}
acabadamente,"wholly, completely",,{adv}
acabado,"worn-out; A finish, a final process or coating applied to a surface",,{adj}; {noun}
a cabalidad,thoroughly,,{adv}
a caballo,horseback; on the back of a horse,,{adv}
acabamiento,achievement,m,{noun}
acabar,to finish; to end,,{vt}
acabar de,to have just done something,v [idiomatic],{noun}
acabarse,to run out; to come to an end,,{v}
acachetear,"to punch, hit with a closed fist; to slap, strike with an open hand",,{v}
acacia,acacia,f,{noun}
academia,academy,f,{noun}
academista,"academician, academic",mf,{noun}
académicamente,academically,,{adv}
académico,"academic; scholastic; academician, academic",,{adj}; {noun}
acaecer,to happen,,{v}
acaecimiento,"event, occurrence",m,{noun}
acairelar,to trim with fringe,,{v}
acal,canoe; manger,"m [dialectal, Mexico]; m [dialectal,",{noun}
acalenturarse,To have a fever,,{vr}
acalicino,acalycine,,{adj} [botany]
acalifa,copperleaf,f,{noun}
acallar,"to quiet, hush or silence",,{v}
acaloradamente,"hotly, vehemently, heatedly",,{adv}
acalorado,heated,,{adj}
acalorar,to heat up,,{v}
acalorarse,to become upset,,{v}
a cal y canto,"under lock and key, shut tight, closed behind doors",adv [idiomatic],{noun}
acampada,camping,f,{noun}
acampanado,"flared, bell shaped",,{adj}
acampar,to camp; to go camping,,{v}
acanaladura,"groove, crimp, bead, flute",f,{noun}
acanalar,to furrow,,{v}
acantáceo,acanthaceous,,{adj} [botany]
acantilado,cliff,m,{noun}
acantilar,to run a ship into trouble or onto rocks; to dredge,,{v} [nautical]; {v}
acanto,acanthus,"m [plants, architecture]",{noun}
acantocito,acanthocyte,m,{noun}
acantonamiento,cantonment,m,{noun}
acantonar,to accommodate,,{v}
acantorar,to station,,{v}
acaparar,to hoard,,{vt}
a capela,a capella,,{adv}
a capella,a capella,,{adv}
a cara o cruz,"toss a coin for, heads or tails",adv [idiomatic],{noun}
acarbosa,acarbose,f [biochemistry],{noun}
acardenalar,to bruise,,{v}
a cargo,in charge,,{prep}
acariciar,"to caress, fondle, stroke",,{v}
acarpo,acarpous,,{adj}
acarrear,to haul,,{v}
acartonado,"shrivelled, wizened",,{adj}
acartonar,"to weather, to erode",,{vt}
acartonarse,to become or to grow stiff (like cardboard); to become wizened,,{v}
acaso,perhaps,,{adv}
acatadamente,compliantly,,{adv}
acatamiento,observance,m,{noun}
acatar,to comply with,,{vt}
acaudalado,wealthy,,{adj}
acaudillar,"to command; to specify, adduce, indicate",,{v}
acaule,"acaulous, short-stemmed",,{adj} [botany]
acíbar,"bitterness, sorrow; aloe (the plant and its juice)",m; m [plants],{noun}
accedente,acceding,,{adj}
acceder,"To accede, to agree, to concur; to access",,{v}
accesar,To access something (e.g. the Internet),,{vt}
accesibilidad,accessibility,f,{noun}
accesible,"approachable, accessible",,{adj}
accesión,accession,f,{noun}
acceso,access; intercourse; passage,m,{noun}
accesoriamente,"accessorily, incidentally",,{adv}
accesorio,"accessory, secondary, additional, supplementary; incidental; irrelevant; accessory equipment, appurtenance",,{adj}; {noun}
accidentado,accident-filled; accident-littered; jerky,,{adj}
accidental,accidental; accidental,,{adj}; {noun}
accidentalmente,accidentally,,{adv}
accidentariamente,accidentally,,{adv} [obsolete]
accidente,accident; feature,m; m [geography],{noun}
accidente de tráfico,"traffic accident, road accident",m,{noun}
acción,action; share (financial instrument),f,{noun}
acción programada,scheduled action,f,{noun}
accionar,to put into motion; to start,,{v}
accionista,shareholder,mf,{noun}
acícula,"needle (long, pointed leaf found on some conifers)",f [botany],{noun}
aceña,"bulrush, cattail (Typha latifolia); water mill; flour mill; water wheel",f [plants]; f; f,{noun}
acebibe,raisin,m,{noun}
acebo,holly,m,{noun}
acebuchal,Of or pertaining to the olive; olive grove,,{adj}; {noun}
acebuche,wild olive tree,m,{noun}
acechador,stalker,m,{noun}
acechar,"to lie in wait for, waylay; to spy",,{vt}
aceche,vitriol,m,{noun}
acecho,an ambush; the act of stalking or spying,m,{noun}
acedía,heartburn,f,{noun}
acedo,"[of a person] disagreeable, unpleasant, bleak; soured, bittered; sour, tart, acid; A sour juice or other liquid",,{adj}; {noun}
aceitar,to oil,,{v}
aceite,oil,m,{noun}
aceite de oliva,olive oil,m,{noun}
aceitera,oilcan,f,{noun}
aceitoso,oily,,{adj}
aceituna,olive (fruit),"f [context needed, comment=where is this used vs. oliva?]",{noun}
aceitunado,"olive-colored, of a green color as of olives",,{adj}
aceituna negra,black olive,f,{noun}
aceitunil,"olive-colored, olive-green",,{adj}
aceleración,"acceleration (act, state)",f,{noun}
acelerador,accelerator (pedal),m,{noun}
acelerar,to accelerate,,{v}
acelga,chard,f,{noun}
acemite,bran,m [archaic],{noun}
acenafteno,acenaphthene,m [organic compound],{noun}
aceno,acene,m [organic compound],{noun}
acensuar,to tax a piece of property,,{v}
acento,accent,m,{noun}
acento agudo,acute accent,m [orthography],{noun}
acento grave,grave accent,m [orthography],{noun}
acentuación,accentuation,f,{noun}
acentuar,"to accentuate, emphasize, distinguish, elevate",,{v}
acepción,"acceptance; sense, meaning",f [obsolete]; f [semantics],{noun}
acepillar,"to brush; to flatter, praise, compliment; to smooth wood using a plane",,{v}
aceptabilidad,acceptability,f,{noun}
aceptable,acceptable,,{adj}
aceptablemente,acceptably,,{adv}
aceptación,acceptance,f,{noun}
aceptar,to accept; to agree to,,{v}
acequia,irrigation ditch,f,{noun}
acera,"pavement, sidewalk",f,{noun}
acerar,"to harden, to steel; to make sharp",,{v}
acerca,about,,{adv}
acerca de,about,,{prep}
acercamiento,rapprochement,m,{noun}
acercar,"see acercarse; to bring close, approach",,{vr}; {v}
acercarse,"to get close, to approach",,{vr}
acero,"sword, weapon; arms; steel; tincture of steel",m [figuratively]; m [in the plural]; m; m,{noun}
acero inoxidable,stainless steel,m,{noun}
acerola,"; , the fruit of the acerolo, Crataegus azarolus","f [l/en, acerola]; f [l/en, azarole]",{noun}
acerolo,"The azarole, a mediterranean shrub or small tree that produces the acerola, Crataegus azarolus",,{n}
acertadamente,aptly,,{adv}
acertar,to be right; to hit upon,,{v}
acertijo,riddle,m,{noun}
acervo,heap; heritage,m,{noun}
acetaldehído,"acetaldehyde, ethanal",m [organic compound],{noun}
acetato,acetate,m [organic chemistry],{noun}
acetil,acetyl,m [organic compound],{noun}
acetilcisteína,acetylcysteine,f [pharmaceutical drug],{noun}
acetilcolina,acetylcholine,f,{noun}
acetilcolinesterasa,acetylcholinesterase,f [enzyme],{noun}
acetileno,acetylene,m [organic chemistry],{noun}
acetilgalactosamina,acetylgalactosamine,f [organic compound],{noun}
acetilglucosamina,acetylglucosamine,f [organic compound],{noun}
acetilmanosamina,acetylmannosamine,f [organic compound],{noun}
acetilmurámico,acetylmuramic,,{adj}
acetilneuraminato,acetylneuraminate,m,{noun}
acetilneuramínico,acetylneuraminic,,{adj}
acetilo,acetyl,m [organic compound],{noun}
acetilsalicilato,acetylsalicylate,m,{noun}
acetilsalicílico,acetylsalicylic,,{adj}
acetiltransferasa,"acetyltransferase, transacetylase",f [enzyme],{noun}
acetoacetato,acetoacetic acid,m [organic compound],{noun}
acetona,acetone,f [organic compound],{noun}
acezante,"puffing, panting or out of breath",,{adj}
acéfalo,headless; leaderless,,{adj}
achacar,to attribute (something to someone); to blame,,{v}
achantar,"To scare, to put off",,{v}
achaque,"default, failing; period; menstruation; sickness, malady; subject, issue, topic",m; m [informal]; m; m,{noun}
achatar,to flatten,,{v}
achicar,"to bale out (a boat); to humiliate, make someone feel small; to make smaller, reduce, minimize",,{vt}
achicarse,"to eat humble pie; to get smaller, shrink",,{vr}
achicharrar,To roast; boil (be very hot); to scorch,,{vi}; {v}
achichincle,"minion, servant","m [pejorative, El Salvador, Honduras, Mexico]",{noun}
achicoria,chicory,f,{noun}
achiote,"annatto, achiote (all senses)",m [Latin America],{noun}
achocolatar,"To turn into chocolate, or of chocolate color/colour",,{v}
achís,"atishoo!, achoo!",,{interj}
aciago,"unlucky, ill-fated, unfortunate",,{adj}
aciano,"cornflower, Centaurea cyanus",m,{noun}
acicalar,to polish,,{vt}
acicalarse,to smarten oneself up,,{vr}
acicate,"incentive, spur (anything that inspires or motivates); spur (implement for prodding a horse)",m,{noun}
acidez,acidity; heartburn; tang,f,{noun}
acidificación,acidification,f,{noun}
acidificar,to acidify,,{v}
acidular,to make sour; to acidulate,,{v}
a ciencia cierta,"for sure, for certain, without doubt",adv [idiomatic],{noun}
acierto,hit; success,m,{noun}
acil,acyl,m [organic compound],{noun}
acilglicérido,"acylglycerol, glyceride",m [organic compound],{noun}
acilo,acyl,,{adj}
aciltransferasa,acyltransferase,f [enzyme],{noun}
acimut,azimuth,m,{noun}
acimutal,azimuthal,,{adj}
acitronar,"to fry until translucent, not golden nor crispy",,{v} [Mexico]
aclamación,acclamation; acclaim,f,{noun}
aclamar,to acclaim or applaud,,{v}
aclaración,explanation,f,{noun}
aclarar,to explain; to clarify,,{vt}
aclimatación,"acclimation, acclimatization",f,{noun}
aclimatar,to acclimate,,{v}
aclimatarse,to become exhausted,,{v}
aclínico,aclinic; opera glasses,,{adj} [physics]; {noun}
acémila,mule; beast of burden,f,{noun}
acné,acne,m [pathology],{noun}
acobardar,"to be frightened, scared, daunted; to daunt, to frighten, to scare",,{vr}; {vt}
acobardarse,to cower,,{v}
acocil,crayfish,"m [dialectal, Mexico]",{noun}
acodarse,to lean,,{v}
acogedor,cozy; friendly; hospitable,,{adj}
acoger,to receive,,{v}
acogida,"welcome, reception",f,{noun}
acojonante,"fucking amazing, the shit, the dog's bollocks",,"{adj} [vulgar, colloquial]"
acolchado,"padded, cushioned; quilt, bed cover",,{adj}; {noun}
acolchar,to quilt,,{v}
acollador,lanyard,m [nautical],{noun}
acometer,"to assail; to undertake (a task, a project, an enterprise)",,{v}
acomodado,"accommodated; suitable, fitting; wealthy; A person who had obtained his job by influence or recommendation, not for his own merits",,{adj}; {noun}
acomodar,to accommodate; to suit; to be suitable; to usher or settle,,{v}
acomodarse,to settle in,,{v}
acompañada,"ridealong, accompanying",f,{noun}
acompañamiento,the accompanying part; accompaniment; the act of accompanying; accompaniment,m [music]; m,{noun}
acompañante,"accompanying; attendant; escort, esquire; accompanist",,{adj}; {noun}; {noun}; {noun}
acompañar,to accompany,,{v}
acomplejar,"to develop a complex; to give a complex, to cause complexes",,{vr}; {vt}
a conciencia,"Carefully, meticulously",,{adv}
acondicionar,to condition,,{v}
acondroplasia,achondroplasia (genetic disorder),f,{noun}
acongojado,anguished,,{adj}
acongojar,to cause or inflict suffering,,{vt}
aconsejable,advisable,,{adj}
aconsejar,to advise,,{v}
acontecer,"to happen, occur, come about",,{v}
acontecimiento,event,m,{noun}
a contrapelo,"backwards, contrary; backwards",,{adj}; {adv}
a contrarreloj,"against the clock, with a deadline, in a hurry",,{adv}
acopiar,to gather,,{v}
acopio,"gathering, collecting",m,{noun}
acoplado,trailer (vehicle towed behind another),m,{noun}
acoplamiento,connection; joining,m,{noun}
acoplar,to adapt oneself; to couple,,{vr}; {v}
acoplarse,reflexive form of acoplar,,{vr}
acorazado,battleship,m,{noun}
acorazar,to armor,,{vt}
acordado,agreed,,{adj}
acordar,"to agree; to reach agreement; to remember, recall; to decide, to arrange",,{vi}; {vr}; {vr}; {vt}
acordarse,"Reflexive infinitive form of acordar (followed by de), to remember",,{v}
acorde,in suit (with); matching; in harmony; according (to); chord (combination of three or more pitches),,{adj}; {noun}
acorde a,according to,,{adv}
acordeón,accordion,m,{noun}
acordeonista,accordionist,mf,{noun}
acordonar,to cordon off,,{v}
acorralar,to corral or corner,,{v}
acortamiento,curtation; shortening,m [astronomy]; m [linguistics],{noun}
acortar,to cut short,,{v}
acosador,bulling; harassing; bully; harasser,,{adj}; {noun}; {noun}
acosar,to bully; to pursue,,{v}
acoso,"molestation, harassment, bullying",m,{noun}
acoso sexual,sexual harassment,m,{noun}
acossar,obsolete spelling of acosar,,{v}
acostado,"lying in bed; recumbent, lying",,{adj}
acostar,"to land, put in, berth; to lay; to put to bed",,{v} [nautical]; {vt}; {vt}
acostarse,"to be in bed with; to go to bed, to lie down",,{v}
acostumbrado,"accustomed to, used to; customary",,{adj}
acostumbrar,"to be accustomed to; to use to (be in the habit of); accustom, inure, familiarize",,{vi}; {vt}
acotación,annotation,f,{noun}
acotado,"enclosed, or fenced in",,{adj}
acotar,"To annotate a page; To mark contours on a map; To prune or lop a tree; To survey land, to enclose",,{v}
acróbata,acrobat,mf,{noun}
acre,bitter; acrid; caustic; acre,,{adj}; {noun}
acrecentar,"to increase, grow",,{vt}
acreción,accretion,f,{noun}
acreditación,accreditation,f,{noun}
acreditar,to accredit,,{v}
acreedor,credit; creditor,m [accounting]; m [finance],{noun}
acreedora,feminine form of acreedor,f,{noun}
