Spanish Word,Translation,Prevalence,Gender,Part-of-Speech
abuelastro,step-grandfather,0.32,M,NOUN
abuelete,grandpa,0.32,M,NOUN
abuelito,grandpa,0.32,M,NOUN
abueljo,grandpa,0.32,M,NOUN
abulia,abulia,0.32,F,NOUN
abultado,"bulky, bulging",0.6,,ADJ
abumalham,abumalham,0.32,M,NOUN
abundancia,abundance,0.93,F,NOUN
abundantemente,abundantly,0.69,,ADV
abundo,"abundo, abound",0.32,,ADJ
aburido,"bored, boring",0.32,,ADJ
aburrido,"bored, boring",0.9,,ADJ
aburridísimo,"boring as hell, boring",0.32,,ADJ
aburrimiento,boredom,0.88,M,NOUN
aburrir,"bored, to bore, bore",0.55,,VERB
aburrirme,get bored,0.32,,VERB
aburrirse,"to bore, get bored",0.72,,VERB
aburriéndolas,boring them,0.32,,VERB
abusa,"abuse, abuses",0.72,,VERB
abusado,"bright, abused",0.83,,ADJ
abusador,abuser,0.52,M,NOUN
abusadora,abuser,0.32,F,NOUN
abusar,"abuse, to abuse",0.87,,VERB
abusas,"abuse, you abuse",0.32,,VERB
abusivamente,abusively,0.52,,ADV
abusivo,"abusive, outrageous",0.81,,ADJ
abuso,abuse,0.96,M,NOUN
abyectamente,abjectly,0.32,F,NOUN
abásida,"abbasid, apse",0.52,,PROPN
abós,"abos, abós",0.32,,PROPN
ac,"ac, bc",0.88,,SPACE
acaa,"acaa, here",0.32,M,NOUN
acabaar,finish,0.31,,PROPN
acabadfo,"finished, finish",0.31,,VERB
acabamiento,"finishing, compliance with the laws",0.52,M,NOUN
acabar,"end, finish, to finish",0.99,,VERB
acabarlo,finish it,0.31,,VERB
acabarlos,finish them,0.31,,VERB
acabarse,"run out, to finish, be finished",0.71,,VERB
acabarás,"you will finish, you will end up, you'll end up, to finish",0.78,,PRON
acabas,"you finish, acabas, to finish",0.9,,VERB
acabose,"finished, acabose",0.31,,VERB
acabándome,"by finishing, finishing me",0.31,,ADJ
academia,academy,0.94,,PROPN
academic,"academic, academy",0.52,,PROPN
academica,"academic, academica",0.65,,ADV
academicismo,academicism,0.52,M,NOUN
academico,academic,0.52,,ADJ
acado,"finished, acado",0.31,,ADJ
académicamente,academically,0.31,,ADV
académico,academic,0.94,,ADJ
acaecido,"to happen, occurred, happened",0.71,,ADJ
acala,"calm down, acala",0.31,F,NOUN
acallar,"to silence, silence",0.75,,VERB
acaloradamente,"hotly, heatedly",0.65,,ADV
acalorado,heated,0.68,,ADJ
acambiar,"change, to change",0.31,,VERB
acambiode,"in exchange of, acambiode",0.31,,PROPN
acampa,"to camp, camping, camp",0.52,F,NOUN
acampar,"to camp, camping",0.84,,VERB
acampedo,"camping, camped",0.31,,ADJ
acanalado,"ribbed, corrugated",0.31,,ADJ
acantonamiento,cantonment,0.69,M,NOUN
acantonar,"canton, quarter",0.31,,VERB
acaparado,"cornered, hoarded, to hoard",0.52,,ADJ
acaparador,hoarder,0.31,M,NOUN
acaparamiento,hoarding,0.65,M,NOUN
acaparar,"to hoard, hoard",0.69,,VERB
acapulco,acapulco,0.52,,PROPN
acaricia,"to caress, caresses",0.6,,ADV
acariciar,"to caress, fondling, caress",0.77,,VERB
acariciarla,"caress her, caress it",0.31,,VERB
acariciarle,caress him,0.31,,VERB
acariciarles,caress them,0.31,,VERB
acariciarlo,"to caress, caress, caress it",0.73,,VERB
acariciarlos,caress them,0.31,,VERB
acariciándola,"caressing her, caressing it",0.31,,PROPN
acarreado,"carried, hauled",0.52,,ADJ
acarrear,"to give rise to, bring about, carry",0.78,,VERB
acarrearle,"carry him, bring you",0.31,,VERB
acaso,perhaps,0.97,,ADV
acatamiento,compliance,0.31,M,NOUN
acatar,"to obey, i abide, abide, abide by",0.85,,VERB
acatarla,abide by it,0.31,,VERB
acatarlo,abide by it,0.31,,VERB
acatarrado,"to have cold, cold, catarrh",0.52,,ADJ
acatarrarse,"catch a cold, catarrh",0.31,,VERB
acaudalado,wealthy,0.52,M,NOUN
acc,acc,0.31,,SPACE
acceder,"to access, access",0.97,,VERB
accederse,"be accessed, access",0.31,,VERB
accedido,accessed,0.8,,ADJ
accelerometer,accelerometer,0.31,,VERB
acceptación,acceptance,0.31,,PROPN
accesar,access,0.31,,VERB
accesibilidad,accessibility,0.86,F,NOUN
acceso,access,0.99,M,NOUN
accesorio,"accessory, incidental",0.81,M,NOUN
accesorioarma,"weapon accessory, accessoryweapon, incidental",0.52,,PROPN
accesu,"access, accesu",0.3,,PROPN
accidentado,"hilly, eventful",0.74,,ADJ
accidentalidad,"accident rate, accident",0.52,F,NOUN
accidentalmente,accidentally,0.8,,ADV
accidentarse,crash,0.3,,VERB
accidente,accident,0.97,M,NOUN
accidentevial,"accidentvial, road accident",0.3,M,NOUN
accidento,accident,0.3,M,NOUN
accio,"accio, act, action",0.75,,PROPN
accion,"act, action",0.8,,PROPN
acciona,"to pull, acciona, activates",0.52,,PROPN
accionado,"actuated, stock, powered",0.52,,ADJ
accionador,"de cinta, actuator",0.52,M,NOUN
accionar,"to pull, actuate, act",0.85,,VERB
accionaria,"stock, shareholder",0.3,F,NOUN
accionariado,"shareholding, stockholders",0.65,,ADJ
accionario,stock,0.6,M,NOUN
accionarlo,"operate it, activate it",0.3,,VERB
accionista,"stockholder, shareholder",0.9,F,NOUN
acción,"hemostatic action, act, action",0.98,F,NOUN
acde,"accde, acrid, acde",0.69,F,NOUN
acechar,"stalk, watch, to stalk",0.6,,VERB
acecharlos,"stalk them, to stalk",0.52,,VERB
acechas,"stalks, lurks",0.3,,VERB
acecho,"lying in wait, stalking",0.86,,ADJ
aceder,"accede, access",0.6,,VERB
aceguá,aceguá,0.3,F,NOUN
aceh,"holly, aceh",0.6,,PROPN
acehní,acehni,0.3,,PROPN
aceite,oil,0.94,M,NOUN
aceitoso,oily,0.3,,ADJ
aceituna,olive,0.52,F,NOUN
aceleración,"accelerating, acceleration",0.86,F,NOUN
aceleradamente,"rapidly, accelerated",0.51,,ADV
acelerado,"intensive, accelerated",0.83,,ADJ
acelerador,"throttle, accelerator",0.84,M,NOUN
acelerar,"speed up, he accelerated",0.92,,VERB
acelerare,"accelerare, i will speed up",0.3,,PROPN
acelerarla,speed it up,0.3,,VERB
acelerarse,speed up,0.3,,VERB
acenso,"ascent, access",0.3,M,NOUN
acento,accent,0.92,M,NOUN
acentuación,accentuation,0.65,F,NOUN
acentuado,"accentuated, accented",0.3,,ADJ
acentuar,"accentuate, to stress",0.66,,VERB
acentuarse,"accentuate, be emphasized",0.3,,VERB
acepción,"sense, meaning",0.85,F,NOUN
aceprensa,"aceprensa, acepress, garlic press",0.74,F,NOUN
aceptabilidad,acceptability,0.71,F,NOUN
aceptablemente,acceptably,0.3,,ADV
aceptacion,acceptance,0.3,,PROPN
aceptación,"success, acceptance",0.98,F,NOUN
aceptadlas,accept them,0.3,,VERB
aceptado,"to accept, accepted",0.93,,ADJ
aceptar,"agree, accept, to accept",0.98,,VERB
aceptarla,"to accept, accept it",0.74,,VERB
aceptarlas,"accept them, to accept",0.71,,VERB
aceptarlo,accept it,0.85,,VERB
aceptarlos,"accept them, to accept",0.71,,VERB
aceptarnos,accept us,0.3,,VERB
aceptarse,"accepting oneself., be accepted, acceptable, accepted",0.78,,VERB
aceptarás,"accept, to accept, you will accept",0.51,,PROPN
acepteís,"you accept, accept",0.3,,ADJ
aceptoleer,"aceptoleer, i agree to read",0.3,,VERB
acer,"steel, acer",0.82,,VERB
acera,"sidewalk, pavement, acera (pavement)",0.88,F,NOUN
acerca,about,0.99,,ADV
acercamiento,"rapprochement, close up, approach",0.9,M,NOUN
acercar,"zoom in, approach",0.88,,VERB
acercarla,"bring it closer to, bring her closer",0.51,,VERB
acercarle,"bring him closer, bring you closer to",0.3,,VERB
acercarlo,bring it closer,0.3,,VERB
acercarme,"get closer, contact me at",0.74,,VERB
acercarnos,"get closer, approach",0.81,,VERB
acercaros,"go to, come closer",0.51,,VERB
acercarse,"getting closer, approach",0.95,,VERB
acercarte,"go to, come closer",0.71,,VERB
acercándosele,"approaching, approaching him",0.3,,PROPN
acercársela,"bring it to you, approach it",0.3,,PROPN
acercársele,"approach him, go to",0.51,,VERB
acercóse,approached,0.3,,PROPN
acerleal,"acerleal, aceral",0.29,,PROPN
acero,steel,0.94,M,NOUN
acerrimo,"obstinate, acerrimo",0.29,,ADJ
acerrojado,"stainless steel, locked",0.29,,ADJ
acers,acers,0.29,,PROPN
acertadamente,rightly,0.82,,ADV
acertado,"successful, right",0.92,,ADJ
acertadísimo,"very accurate, right on target",0.29,,ADJ
acertar,"hit, get it right, to get right",0.94,,VERB
acertijo,riddle,0.75,M,NOUN
acervo,"heritage, collection",0.74,M,NOUN
aceso,access,0.29,M,NOUN
acetaldehído,"acetaldehyde, aldehyde",0.51,M,NOUN
acetar,"acetar, accept",0.29,,VERB
acetie,"acetie, acety",0.29,,PROPN
acetum,acetum,0.29,M,NOUN
acevedo,"acevedo, steel",0.51,M,NOUN
achaan,achaan,0.29,,PROPN
achacar,"attribute, blame",0.72,,VERB
achacarle,"attribute it to, blame him",0.29,,VERB
achacarlo,"chalk it up to, blame it",0.29,,VERB
achacoso,ailing,0.29,M,NOUN
achaparrado,"stunted, stumpy, squat",0.6,,ADJ
achariyabhuta,achariyabhuta,0.29,,ADV
achatarrar,"scrap, to hassle",0.51,,VERB
acheson,acheson,0.29,F,NOUN
achicamiento,"shrinkage, reduction, rapprochement",0.51,M,NOUN
achicarse,shrink,0.29,,VERB
achraf,"achraf, to kill",0.6,,PROPN
achtliederbuch,achtliederbuch,0.29,,PROPN
acia,acia,0.29,,ADP
aciago,fateful,0.29,,ADJ
acicalado,"grooming, groomed",0.29,,ADJ
acicate,"incentive, his reason for living, spur",0.65,M,NOUN
acicateó,spurred,0.29,,PROPN
acid,"acid, acid house delante del",0.78,F,NOUN
acidente,accident,0.29,M,NOUN
acido,"acid, acido",0.29,,ADJ
acientífico,"acientific, unscientific",0.51,,ADJ
acierto,"success, good decision, angry",0.87,M,NOUN
ackerley,"ackerley, cracker",0.6,,PROPN
acl,acl,0.29,,PROPN
aclamación,acclamation,0.29,F,NOUN
aclamado,"to acclaim, acclaimed",0.79,,ADJ
aclaración,clarification,0.87,F,NOUN
aclarado,"rinsing, rinse, cleared up",0.82,,ADJ
aclarar,clarify,0.94,,VERB
aclararlas,clarify them,0.29,,VERB
aclararles,"to clarify, clarify them",0.51,,VERB
aclararlo,"clarify, clear it up",0.68,,VERB
aclararme,"clarify, clear me up",0.51,,VERB
aclararnos,"clarify, clarify us",0.29,,VERB
aclararse,"cut up, clear, clear up",0.76,,VERB
aclarativo,explanatory,0.29,,PROPN
aclaratorio,explanatory,0.51,,ADJ
aclimatarse,acclimatize,0.29,,VERB
acme,acme,0.29,,PROPN
aco,"aco, come here",0.6,,PROPN
acobardado,"cowed, unnerved, to unnerve, nerveless",0.77,,ADJ
acobardarse,"to unnerve, cringe, cower",0.6,,VERB
acogedor,cozy,0.84,,ADJ
acoger,"host, embrace, to take in, foster",0.85,,VERB
acogerla,welcome her,0.28,,VERB
acogerlas,welcome them,0.28,,VERB
acogerlo,"welcome him, welcome it",0.28,,VERB
acogerse,"to take in, go to, take refuge",0.75,,VERB
acogerás,"to take in, you will welcome",0.51,,PUNCT
acogeré,"i will welcome, I will welcome",0.28,M,NOUN
acojonado,"scared, frightened",0.65,,ADJ
acojonar,"intimidate, scare",0.51,,VERB
acolchado,"quilting, padded, quilted",0.59,,ADJ
acolchar,"quilting, quilt, to quilt",0.51,,VERB
acombatir,combat,0.28,,VERB
acomenter,"acomenter, acomment",0.28,,VERB
acomentido,"attacked, companion",0.28,,ADJ
acometer,"undertake, go to, we undertake, to attack",0.78,,VERB
acometido,"service, rushed",0.28,,ADJ
acomodación,accommodation,0.28,F,NOUN
acomodadad,"accommodation, please visit",0.28,,PROPN
acomodado,"well-off, accommodated",0.71,,ADJ
acomodar,"accommodate, to adapt",0.8,,VERB
acomodarlos,accommodate them,0.28,,VERB
acomodarnos,"accommodate us, to adapt",0.59,,VERB
acomodarse,"accommodate, settle in, to adapt",0.8,,VERB
acomodo,"accommodation, string-pulling, arrangement",0.59,,ADJ
acompasadamente,rhythmically,0.51,,ADV
acompasamiento,pacing,0.28,M,NOUN
acompasar,"match, pace",0.28,,VERB
acompañamiento,accompaniment,0.81,M,NOUN
acompañante,companion,0.8,F,NOUN
acompañar,"accompany, to go with",0.91,,VERB
acompañarla,"accompany her, to go with",0.77,,VERB
acompañarlas,accompany them,0.28,,VERB
acompañarle,"accompany him, to go with",0.51,,VERB
acompañarles,"accompany them, to go with",0.51,,VERB
acompañarlo,"accompany him, to go with",0.81,,VERB
acompañarlos,"accompany them, to go with",0.72,,VERB
acompañarme,"accompany, join me, to go with",0.81,,VERB
acompañarnos,"to go with, join us",0.68,,VERB
acompañarse,"be accompanied, go to",0.28,,VERB
acompañarte,"accompany you, to go with",0.73,,VERB
acompañándolos,accompanying them,0.28,,VERB
aconcagua,aconcagua,0.28,F,NOUN
acondicionamiento,conditioning,0.28,M,NOUN
acondicionar,"refurbish, condition, to equip",0.51,,VERB
acondicionarlo,condition it,0.28,,VERB
aconfesionalidad,"non-denominational, non-denominationalism",0.28,F,NOUN
acongoja,"distresses, grieves",0.28,F,NOUN
acongojado,"bereaved, upset",0.59,,ADJ
acongojar,"distress, wring",0.28,,VERB
aconsejado,"advised, to advise, recommended",0.8,,ADJ
aconsejar,"advise, to advise",0.81,,VERB
aconsejarle,"advise you, to advise",0.51,,VERB
aconsejarlo,"advise him, advise you",0.28,,VERB
aconsejarlos,advise them,0.28,,VERB
aconsejaros,advise you,0.28,,VERB
aconsejarte,"advise you, to advise",0.73,,AUX
aconsejo,"i advise, advise, I recommend, to advise",0.88,M,NOUN
acontecer,"happen, to take place, happening",0.8,,VERB
acontecerle,"happen to you, happen to him",0.27,,VERB
acontecerme,happen to me,0.27,F,NOUN
acontecimiento,event,0.92,M,NOUN
acopio,"collection, gathering, supply",0.84,M,NOUN
acoplamiento,"fitting together, coupling",0.59,M,NOUN
acoplar,"attach, couple",0.27,,VERB
acoplarse,"link, mate",0.27,,VERB
acople,"to fit together, coupling",0.59,M,NOUN
acorazado,battleship,0.27,M,NOUN
acordado,"to agree, agreed",0.9,,ADJ
acordar,"agree, to agree",0.81,,VERB
acordarla,"agree to it, agree it",0.27,,VERB
acordarme,"remember, to agree, remember me, ""remember?",0.79,,VERB
acordarnos,remember,0.27,,VERB
acordaros,remember,0.27,,VERB
acordarse,"remember, to agree",0.82,,VERB
acordarte,"remember, to agree",0.51,,VERB
acordarás,"to agree, you will agree",0.61,,AUX
acordaís,"remember, do you agree",0.27,,ADJ
acordeón,accordion,0.27,,PROPN
acordona,"to cordon off, cordon off, cordon",0.59,F,NOUN
acordás,"to agree, you agree, do you remember",0.59,,VERB
acorralado,"cornered, at bay, to corner",0.79,,ADJ
acorralar,"corral, to corner, corner",0.68,,VERB
acortado,"shortened, to shorten",0.5,,ADJ
acortar,"to shorten, shorten",0.68,,VERB
acortarlo,shorten it,0.27,,VERB
acorte,shorten,0.27,F,NOUN
acosado,"harassed, to hound",0.68,,ADJ
acosador,stalker,0.59,M,NOUN
acosar,"harass, to hound, to bully",0.68,,VERB
acosarlo,harass him,0.27,,VERB
acosarlos,harass them,0.27,,VERB
acoso,harassment,0.91,M,NOUN
acostado,"speed ramp, lying, lying down",0.91,,ADJ
acostar,"bed, lay down, to put to bed",0.81,,VERB
acostarme,"go to bed, lie down, to put to bed",0.68,,VERB
acostarnos,"go to bed, go to sleep, to put to bed",0.65,,VERB
acostarse,"go to bed, lie down, to put to bed",0.91,,VERB
acostumbrado,"used to, accustomed",0.94,,ADJ
acostumbrar,accustom,0.68,,VERB
acostumbrarme,get used to,0.65,,VERB
acostumbrarse,"get used to, get used",0.85,,VERB
acostumbre,"used to, to it., customary",0.77,F,NOUN
acostumrado,accustomed,0.27,,ADJ
acostúmbrate,get used to it,0.7,,AUX
acosándonos,harassing us,0.27,,VERB
acotación,"dimension, annotation",0.27,F,NOUN
acotado,"fenced, bounded, delimited",0.59,,ADJ
acotar,"to fence in, delimit",0.68,,VERB
acotarla,delimit it,0.27,,VERB
acotarse,"delimit, narrow down",0.27,,VERB
acre,"a, acre, acrid, 1 acre",0.79,,PROPN
acrecentar,"increase, to increase",0.72,,VERB
acrecentarse,"go to, increase",0.27,,VERB
acreditación,accreditation,0.59,F,NOUN
acreditado,"accredited, reputable",0.68,,ADJ
acreditar,"accredit, credit, to accredit",0.73,,VERB
acreditarse,"to be credited, accredited",0.26,,VERB
acreditativo,"supporting, accreditation",0.26,,ADJ
acredito,"i credit, credit",0.26,,VERB
acredor,"creditor, accreditor",0.26,,ADJ
acreedor,"worthy deserving of sth, creditor",0.59,M,NOUN
acribillarme,riddle me,0.26,,VERB
acristalado,"glazed, glazing",0.26,,ADJ
acritud,"acrimony, asperity",0.8,F,NOUN
acriz,acriz,0.26,F,NOUN
acrobat,acrobat,0.26,,PROPN
acrobático,acrobatic,0.26,,ADJ
acrual,acrual,0.26,,PROPN
acrático,acratic,0.26,,ADJ
acrílico,acrylic,0.5,M,NOUN
acrítico,uncritical,0.26,,ADJ
acrópolis,acropolis,0.26,,VERB
acróstico,acrostic,0.26,,ADJ
acs,"sca, acs",0.5,,PROPN
act,"oct, act",0.85,,PROPN
acte,"acte, act",0.5,,PROPN
actittud,"attitude, actittud",0.26,F,NOUN
actitud,"attitude, aircraft attitude",0.98,F,NOUN
